Web of science search,Initials ,FRED? (y/n),Warming experiment? (y/n),Should be in Warming dataset? (y/n),Should be in FRED? (y/n),In SH thesis (y/n),Data Extracted?,Which Protocol?,Rationale for exclusion from AU warming database,Data source,Entered in FRED?,2025 Notes,Initials,Notes,Experiment or Gradient (Selena),Species (Selena),Traits (Selena),Notes (Selena),Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISSN,eISSN,Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,UT (Unique WOS ID)
WOS1990,MY,n,n,n,y,n,NA,Fig 3,Fig 3 has Horizontal distribution of root biomass (kg) per 1 m3 soil excavated in the trench but axis labels are very unclear,Not found,NA,,MY,,,,,,,"Komiyama, A etal",,,,,,,Root Biomass Of A Mangrove Forest In Southern Thailand .1. Estimation By The Trench Method And The Zonal Structure Of Root Biomass,Journal Of Tropical Ecology,"In a mangrove forest in southern Thailand, the root biomass was estimated for the Sonneratia zone, the Sonneratia-Bruguiera ecotone, the Bruguiera zone and the Rhizophora zone. A 0.2 m (width) .times. 15.5 m (length) .times. 1.0 m (depth) trench was dug between two trees of Rhizophora apiculata and the roots in the trench harvested, rinsed, sorted by diameter and weighed. The dry weight of roots collected from the trench was 135.6 kg, equivalent to a total root biomass of 437.5 t ha-1 including 220.5 t ha-1 of fine roots. The root density distribution of a single tree was assumed to be predictable exponentially. Two variables of the equation were determined by iteration using the data from a trench excavation and tree distribution study. This equation was applied to 1.3 ha and the root biomass distribution was analysed. The root biomass in each of the above four zones was estimated at 171.8, 84.8, 242.6 and 509.5 t ha-1, respectively. The proportion of fine roots (< 2 mm) ranged from 46.4% to 66.4%.",,,,,,,,,,,,,,,,,0266-4674,1469-7831,,,MAY,1987,3,,97,108,,10.1017/S0266467400001826,,,
WOS1990,MY,n,n,n,y,n,complete,"Claude: Fig 1, 2, 3, 4, 5, Table 1",,Not found,complete,,MY,,,,,,,"Newell, RL; Wilhelm, WW",,,,,,,Conservation Tillage And Irrigation Effects On Corn Root Development,Agronomy Journal,"The effects of conservation-tillage practices on the root environment of corn (Zea mays L.) may differ with varying amounts of irrigation. Dryland, 50% irrigation, and 100% irrigation treatments were applied in combination with disc, no-tillage, and a postemergence chisel treatment designed to allow rapid infiltration of irrigation water. The study was conducted during the 1980 growing season at the Nebraska Agricultural Experiment Station near Mead, NE [Nebraska, USA] on a Sharpsburg silty clay loam (fine, montmorillionitic, mesic Typic Argiudiolls). Root samples were taken to 1.50 m in 0.15-m increments. Sampling was done at 60 (V8), 77 (V14) and 90 (R2) days after planting. Root length per soil volume as a function of depth from the soil surface was characterized using hybrid B73 .times. Mo17. Root length exhibited linear and often quadratic distribution over sampling depths at all sampling dates. The 100% irrigation treatment exhibited greatest total profile (0- to 1.5-m) and surface (0- to -0.15-m) root length at R2. Dryland and 50% irrigation treatments were associated with relatively greater root length proliferation deep in the soil profile. Differences in root length distribution were not as pronounced at stages V8 and V14. Chisel and no-tillage treatments, with crop residues at the soil surface, resulted in greater surface (0- to -0.15-m) and total profile root length than discing. Corn roots tended to explore the lower profile to a greater extent under water stress conditions. This phenomenon, in conjunction with soil water conservation by no-tillage methods, may allow irrigators to increase water-use efficiency by better use of stored soil moisture.",,,,,,,,,,,,,,,,,0002-1962,1435-0645,,,,1987,79,1,160,165,,10.2134/agronj1987.00021962007900010033x,,,
WOS1990,MY,n,n,n,y,n,complete,"PlotDigitizer: Fig 5
ChatGPT: Table 1, 2",,Not found,complete,,MY,,,,,,,"Rytter, L",,,,,,,Distribution Of Roots And Root-Nodules And Biomass Allocation In Young Intensively Managed Grey Alder Stands On A Peat Bog,Plant And Soil,"Development of below-ground biomass and biomass allocation were studied in two different stands of young grey alder [Alnus incana], stands growing on a peat bog. Both stands were given the same fertilization and irrigation treatment. The roots were investigated from 1) open plastic tubes enclosing the complete root systems in 1982, and 2) root cores 1984-86. Coarse roots (diameter > 1 mm) were mainly found close to the trunk of the trees while fine roots (.ltoreq. 1 mm) were more evenly distributed in the stands. Root nodules were intermediate in distribution. The root systems were shallow, with more than 90% of the biomass in the uppermost 9-10 cm of the soil, probably because of low oxygen availability in the peat soil. The biomass allocation to the above-ground parts increased during the study period.",,,,,,,,,,,,,,,,,0032-079X,1573-5036,,,SEPT,1989,119,1,71,70,,10.1007/BF02370270,,,
WOS1990,MY,n,n,n,n,n,,,"no relevant root trait info, mostly nutrient concentration",Not found,,,MY,,,,,,,"Singh, KP; Shekhar, C",,,,,,,"Concentration And Release Patterns Of Nutrients (N, P And K) During Decomposition Of Maize And Wheat Roots In A Seasonally-Dry Tropical Region",Soil Biology & Biochemistry,,,,,,,,,,,,,,,,,,0038-0717,1879-3428,,,,1989,21,1,81,85,,10.1016/0038-0717(89)90015-1,,,
WOS1990,MY,n,n,n,y,n,complete,"Fig 1, 2, 4
Table 2",,Not found,complete,,MY,,,,,,,"Singh, KP; Srivastava, SK",,,,,,,Spatial-Distribution Of Fine Root Mass In Young Trees (Tectona-Grandis) Of Varying Girth Sizes,Pedobiologia,"Lateral and vertical distributions of fine root mass, was studied in teak trees of 5 to 40 cm girths (2-20 yr age). Sampling was done in peak growing season at 3 distances from the tree base down to 40 cm depth. The composite root mass [CRM] was separated into live teak roots (TRB), teak root necromass (TRN), herb root mass (HRM) and soil organic matter (SOM). The amount of root mass distinctly varied with tree girth, sampling distance and soil depth. At all distances rapid build up of CRM occurred in the soil profile (95-204 g m-2 in 5 cm girth to 342-650 g m-2 in 40 cm girth). In smaller trees amount of CRM was highest at 100 cm distance, but in trees with a girth > 30 cm the highest accumulation occurred at 50 cm. All components of CRM increased with girth, excepting HRM which sharply declined; generally their quantities were: TRB > HRM > SOM .gtoreq. TRN. With increasing girth the greater fraction of total teak root mass was reflected as TRN. While most HRM was located in the 10 cm of soil depth, bulk of TRB was restricted to > 10-30 cm depth; however, by diameter separation, the TRB .ltoreq. 1 mm consistently declined with depth. This root size was maximally developed nearest to the tree base.",,,,,,,,,,,,,,,,,0031-4056,1873-1511,,,,1984,27,3,161,170,,,,,
WOS1990,MY,n,n,n,y,n,complete,"Claude: Table 1, 4, 7",,Not found,complete,,MY,,,,,,,"Steen, E; Linden, B",,,,,,,Role Of Fine Roots In The Nitrogen Economy Of Sugar-Beet,Journal Of Agronomy And Crop Science,"In 31 field experiments with sugar beet, carried out in 1982-84 in Scania, southern Sweden, fertilizer nitrogen recovery in tops and beets, calculated with the difference method, amounted to 73%. To elucidate the role of the fine lateral roots in the fate of the nitrogen not accounted for, the lateral roots within depths of 0-25 and 25-60 cm were sampled at harvest in late September, 1984 in five sugar beet experiments. Irrespective of differences in nitrogen fertilization and plant-available soil nitrogen, a mean of ca. 3 kg/ha-1 of nitrogen was found in the fine lateral roots. This corresponded to only ca. 2% of the nitrogen in the whole crop at harvest, whereas the beets and tops contained 43 and 55%, respectively. Using the difference method, calculations with, as well as without, fine roots therefore yielded the same recovery (75%) of fertilizer nitrogen in the beet crop. The increase of residual mineral nitrogen in the soil at harvest caused by the fertilization corresponded to 2% of the fertilizer nitrogen applied. This means a total recovery of 77%.",,,,,,,,,,,,,,,,,0931-2250,1439-037X,,,FEB,1987,158,1,1,7,,10.1111/j.1439-037X.1987.tb00605.x,,,
WOS1990,MY,n,n,n,y,n,complete,"PlotDigitizer: Fig 3
Table 2, 3",,Not found,complete,,MY,,,,,,,"Vogt, KA etal",,,,,,,Conifer And Angiosperm Fine-Root Biomass In Relation To Stand Age And Site Productivity In Douglas-Fir Forests,Journal Of Ecology,"(1) Conifer and angiosperm fine-root biomass were determined in an age sequence (range 13-160 years) of eight high-productivity and seven low-productivity Douglas-fir stands in western Washington, U.S.A. (2) No significant changes in total (conifer plus angiosperm) root biomass occurred among the different stand ages within each productivity class. Of the total fine-root biomass, however, the proportion of angiosperm to conifer roots varied significantly when stands were in the ''tree initiation'' and ''competitive tree-stem exclusion'' stages of stand development. (3) Conifer fine-root biomass reached a peak at canopy closure in both low- and high-productivity stands. After canopy closure, conifer fine-root and foliage biomass levelled off as basal area continued to increase in the low-productivity stands; however, conifer fine-root biomass decreased as basal area increased and foliage biomass levelled off in the high-productivity stands. (4) At all stand ages, the low-productivity stands had significantly more total (conifer plus angiosperm) fine-root biomass than those of high-productivity. At canopy closure and later stages of stand development, a significantly higher conifer fine-root biomass was maintained in low-productivity compared to high-productivity stands. (5) Conifer fine-root biomass was positively related to litterfall lignin content, litterfall lignin:nitrogen ratio and forest-floor nitrogen content in low-, but not in high-productivity stands; these patterns followed an asymptotic exponential curve.",,,,,,,,,,,,,,,,,0022-0477,1365-2745,,,SEPT,1987,75,3,857,870,,10.2307/2260210,,,
WOS1990,MY,n,n,n,y,n,complete,PlotDigitizer: Fig 1,,Not found,complete,,MY,,,,,,,"Zohar, Y",,,,,,,Root Distribution Of A Eucalypt Shelterbelt,Forest Ecology And Management,"Eucalyptus camaldulensis roots were examined at the edge of a cotton field, 10-15 cm from the shelterbelt. Most roots were concentrated at a depth of 40-80 cm. Fine roots, having a diameter of 0.1-0.5 cm, comprised the majority of the root system at all soil depths. It seems that frequent severing of roots close to the trees may reduce root competition to the crop, thereby increasing the beneficial effects of such trees as shelterbelts.",,,,,,,,,,,,,,,,,0378-1127,1872-7042,,,,1985,12,3-4,305,307,,10.1016/0378-1127(85)90098-2,,,
WOS2023,MY,n,y,y,y,y,NA,,,10.6084/m9.figshare.23523096,complete,,MY,,,,,,,"Wei, B et al.",,,,,,,Experimental warming altered plant functional traits and their coordination in a permafrost ecosystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1111/nph.19115,,,
WOS2023,MY,n,n,y,y,y,NA,,,https://datadryad.org/dataset/doi:10.5061/dryad.fqz612jtg,complete,,MY,,,,,,,"Meyer, N; Silfver, T; Karhu, K; Myller, K; Sietio, OM; Myrsky, E; Oksanen, E; Rousi, M; Mikola, J",,,,,,,Strong Interactive Effects of Warming and Insect Herbivory on Soil Carbon and Nitrogen Dynamics at Subarctic Tree Line,FRONTIERS IN FORESTS AND GLOBAL CHANGE,,,,,,,,,,,,,,,,,,,2624-893X,,,NOV 11,2021,4,,,,773223,10.3389/ffgc.2021.773223,,,
WOS2023,MY,n,n,y,y,n,NA,,,Supplementary data: https://doi. org/10.1016/j.ecolind.2022.109066,complete,,MY,,,,,,,"Ma, ZL; Chen, YM; Xu, WJ; Liu, M",,,,,,,Increased plant growth may offset soil carbon loss caused by warming in an alpine Sibiraea angustata shrub ecosystem on the eastern Qinghai-Tibet Plateau,ECOLOGICAL INDICATORS,,,,,,,,,,,,,,,,,,1470-160X,1872-7034,,,AUG,2022,141,,,,109066,10.1016/j.ecolind.2022.109066,,,
WOS2023,MY,n,n,y,y,y,NA,,,https:// doi.org/10.5061/dryad.c866t1g7m,complete,,MY,,,,,,,"Spitzer, CM; Sundqvist, MK; Wardle, DA; Gundale, MJ; Kardol, P",,,,,,,Root trait variation along a sub-arctic tundra elevational gradient,OIKOS,,,,,,,,,,,,,,,,,,0030-1299,1600-0706,,,JAN,2023,2023,1,,,e08903,10.1111/oik.08903,,,
WOS2023,MY,n,n,y,y,n,NA,,,https://doi. org/10.1016/j.scitotenv.2021.149926.,complete,,MY,,,,,,,"Ma, T; Parker, T; Unger, S; Gewirtzman, J; Fetcher, N; Moody, ML; Tang, JW",,,,,,,Responses of root phenology in ecotypes of Eriophorum vaginatum to transplantation and warming in the Arctic,SCIENCE OF THE TOTAL ENVIRONMENT,,,,,,,,,,,,,,,,,,0048-9697,1879-1026,,,JAN 20,2022,805,,,,149926,10.1016/j.scitotenv.2021.149926,,,
WOS2023,MY,n,n,y,y,n,complete,"PlotDigitizer: Fig 2, 4, 5, 6",,,complete,,MY,,,,,,,"Ma, T; Parker, T; Fetcher, N; Unger, SL; Gewirtzman, J; Moody, ML; Tang, JW",,,,,,,Leaf and root phenology and biomass of Eriophorum vaginatum in response to warming in the Arctic,JOURNAL OF PLANT ECOLOGY,,,,,,,,,,,,,,,,,,1752-9921,1752-993X,,,OCT 1,2022,15,5,1091,1105,,10.1093/jpe/rtac010,,,
WOS2023,MY,n,n,y,y,n,complete,"Claude: Table 1, 2
PlotDigitizer: Fig 1, 5, 6, 8, 9",,,complete,,MY,,,,,,,"Okano, K; Bret-Harte, MS; Mulder, CPH; Juday, GP",,,,,,,Resource availability drives plant-plant interactions of conifer seedlings across elevations under warming in Alaska,ECOSPHERE,,,,,,,,,,,,,,,,,,2150-8925,,,,MAY,2021,12,5,,,e03508,10.1002/ecs2.3508,,,
WOS2023,MY,n,n,y,y,y,NA,,as same data as article titled Increasing tree density accelerates stand-level nitrogen cycling at the taiga-tundra ecotone in northeastern Siberia,"https://www.ncbi.nlm.nih.gov/nuccore/OM986955
https://www.ncbi.nlm.nih.gov/nuccore/OM987250
https://doi.org/10.18739/A2GT5FG86 
http://doi.org/10.18739/A2000018G 
http://doi.org/10.18739/A23R0PV43
http://doi.org/10.18739/A2GX44W2M",NA,,MY,,,,,,,"Hewitt, RE; Alexander, HD; Miller, SN; Mack, MC",,,,,,,Root-associated fungi not tree density influences stand nitrogen dynamics at the larch forest-tundra ecotone,JOURNAL OF ECOLOGY,,,,,,,,,,,,,,,,,,0022-0477,1365-2745,,,JUN,2022,110,6,1419,1431,,10.1111/1365-2745.13882,,,
WOS2023,MY,n,n,y,y,n,NA,,,"https://doi.org/10.18739/A2C24QP3W
https://doi.org/10.18739/A2GT5FG86
https://doi.org/10.18739/A2GX44W2M 
https://doi.org/10.18739/A2C824G1H 
https://doi.org/10.18739/A27H1DN87
https://doi.org/10.18739/A23R0PV43",complete,,MY,,,,,,,"Hewitt, RE; Alexander, HD; Izbicki, B; Loranty, MM; Natali, SM; Walker, XJ; Mack, MC",,,,,,,Increasing tree density accelerates stand-level nitrogen cycling at the taiga-tundra ecotone in northeastern Siberia,ECOSPHERE,,,,,,,,,,,,,,,,,,2150-8925,,,,JUL,2022,13,7,,,e4175,10.1002/ecs2.4175,,,
WOS2023,MY,n,n,y,y,n,NA,,,https://doi.org/10.5061/dryad.rxwdbrvbd,complete,,MY,,,,,,,"Robinson, SI; O'Gorman, EJ; Frey, B; Hagner, M; Mikola, J",,,,,,,"Soil organic matter, rather than temperature, determines the structure and functioning of subarctic decomposer communities",GLOBAL CHANGE BIOLOGY,,,,,,,,,,,,,,,,,,1354-1013,1365-2486,,,JUN,2022,28,12,3929,3943,,10.1111/gcb.16158,,,
WOS2023,MY,n,n,n,n,n,NA,,"Relevant root trait data is from Hewitt 2019 Below-ground plant traits influence tundra plant acquisition of newly thawed permafrost nitrogen
","http://www.lter.uaf.edu/data/data-detail/id/704 (Jasinski et al., 2018a)
http://www.lter.uaf.edu/data/data-detail/id/705 (Jasnski et al., 2018b) 
http://www.lter.uaf.edu/data/data-detail/id/706",NA,,MY,,,,,,,"Jasinski, BL; Hewitt, RE; Mauritz, M; Miller, SN; Schuur, EAG; Taylor, MA; Walker, XJ; Mack, MC",,,,,,,Plant foliar nutrient response to active layer and water table depth in warming permafrost soils,JOURNAL OF ECOLOGY,,,,,,,,,,,,,,,,,,0022-0477,1365-2745,,,MAY,2022,110,5,1201,1216,,10.1111/1365-2745.13864,,,
WOS2023,MY,n,n,n,y,n,NA,,,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA800209,complete,,MY,,,,,,,"Kastovska, E; Choma, M; Capek, P; Kana, J; Tahovska, K; Kopacek, J",,,,,,,Soil warming during winter period enhanced soil N and P availability and leaching in alpine grasslands: A transplant study,PLOS ONE,,,,,,,,,,,,,,,,,,1932-6203,,,,,2022,17,8,,,e0272143,10.1371/journal.pone.0272143,,,
WOS2023,MY,n,n,meta-analysis,y,n,,,, https://doi.org/10.1038/s41467-022-32671-9,complete,,MY,,,,,,,"Zhou, LY; Zhou, XH; He, YH; Fu, YL; Du, ZG; Lu, M; Sun, XY; Li, CH; Lu, CY; Liu, RQ; Zhou, GY; Bai, SH; Thakur, MP",,,,,,,Global systematic review with meta-analysis shows that warming effects on terrestrial plant biomass allocation are influenced by precipitation and mycorrhizal association,NATURE COMMUNICATIONS,,,,,,,,,,,,,,,,,,,2041-1723,,,AUG 20,2022,13,1,,,4914,10.1038/s41467-022-32671-9,,,
WOS2020,GB-W,n,n,n,n,n,NA,NA,Mycorrhizal not related to colonization and no root traits,,NA,"Contains mycorrhizal fungi. More related to fungi sequencing, OTU, and other info. 18 sampling locations regularly spaced along the elevational gradient",MY,root-associated fungi,elevational gradient,,mycorrhizal fungi,host plant specialization,J,"Abrego, N; Huotari, T; Tack, AJM; Lindahl, BD; Tikhonov, G; Somervuo, P; Schmidt, NM; Ovaskainen, O; Roslin, T",,,,"Abrego, Nerea; Huotari, Tea; Tack, Ayco J. M.; Lindahl, Bjorn D.; Tikhonov, Gleb; Somervuo, Panu; Schmidt, Niels Martin; Ovaskainen, Otso; Roslin, Tomas",,,Higher host plant specialization of root-associated endophytes than mycorrhizal fungi along an arctic elevational gradient,ECOLOGY AND EVOLUTION,"How community-level specialization differs among groups of organisms, and changes along environmental gradients, is fundamental to understanding the mechanisms influencing ecological communities. In this paper, we investigate the specialization of root-associated fungi for plant species, asking whether the level of specialization varies with elevation. For this, we applied DNA barcoding based on the ITS region to root samples of five plant species equivalently sampled along an elevational gradient at a high arctic site. To assess whether the level of specialization changed with elevation and whether the observed patterns varied between mycorrhizal and endophytic fungi, we applied a joint species distribution modeling approach. Our results show that host plant specialization is not environmentally constrained in arctic root-associated fungal communities, since there was no evidence for changing specialization with elevation, even if the composition of root-associated fungal communities changed substantially. However, the level of specialization for particular plant species differed among fungal groups, root-associated endophytic fungal communities being highly specialized on particular host species, and mycorrhizal fungi showing almost no signs of specialization. Our results suggest that plant identity affects associated mycorrhizal and endophytic fungi differently, highlighting the need of considering both endophytic and mycorrhizal fungi when studying specialization in root-associated fungal communities.",,,,"Schmidt, Niels Martin/G-3843-2011; Ovaskainen, Otso/D-9119-2012; Roslin, Tomas/E-8648-2016; Tack, Ayco/B-7120-2017","Schmidt, Niels Martin/0000-0002-4166-6218; Ovaskainen, Otso/0000-0001-9750-4421; Roslin, Tomas/0000-0002-2957-4791; Lindahl, Bjorn/0000-0002-3384-4547; Tack, Ayco/0000-0002-3550-1070",,,,,,,,,,,,2045-7758,,2045-7758,,AUG,2020,10,16,8989,9002,,10.1002/ece3.6604,,AUG 2020,WOS:000556033100001
WOS2020,GB-W,n,n,n,n,n,NA,NA,Mycorrhizal not related to colonization and no root traits,,NA,"mycorrhizal fungi, randomly sampled along elevation gradient",MY,fungal paper,elevational gradient,,"mycorrhizal fungi,",fungal co-occurence along elevational gradient,J,"Abrego, N; Roslin, T; Huotari, T; Tack, AJM; Lindahl, BD; Tikhonov, G; Somervuo, P; Schmidt, NM; Ovaskainen, O",,,,"Abrego, Nerea; Roslin, Tomas; Huotari, Tea; Tack, Ayco J. M.; Lindahl, Bjorn D.; Tikhonov, Gleb; Somervuo, Panu; Schmidt, Niels Martin; Ovaskainen, Otso",,,Accounting for environmental variation in co-occurrence modelling reveals the importance of positive interactions in root-associated fungal communities,MOLECULAR ECOLOGY,"Understanding the role of interspecific interactions in shaping ecological communities is one of the central goals in community ecology. In fungal communities, measuring interspecific interactions directly is challenging because these communities are composed of large numbers of species, many of which are unculturable. An indirect way of assessing the role of interspecific interactions in determining community structure is to identify the species co-occurrences that are not constrained by environmental conditions. In this study, we investigated co-occurrences among root-associated fungi, asking whether fungi co-occur more or less strongly than expected based on the environmental conditions and the host plant species examined. We generated molecular data on root-associated fungi of five plant species evenly sampled along an elevational gradient at a high arctic site. We analysed the data using a joint species distribution modelling approach that allowed us to identify those co-occurrences that could be explained by the environmental conditions and the host plant species, as well as those co-occurrences that remained unexplained and thus more probably reflect interactive associations. Our results indicate that not only negative but also positive interactions play an important role in shaping microbial communities in arctic plant roots. In particular, we found that mycorrhizal fungi are especially prone to positively co-occur with other fungal species. Our results bring new understanding to the structure of arctic interaction networks by suggesting that interactions among root-associated fungi are predominantly positive.",,,,"Schmidt, Niels Martin/G-3843-2011; Ovaskainen, Otso/D-9119-2012; Roslin, Tomas/E-8648-2016; Tack, Ayco/B-7120-2017","Schmidt, Niels Martin/0000-0002-4166-6218; Ovaskainen, Otso/0000-0001-9750-4421; Lindahl, Bjorn/0000-0002-3384-4547; Roslin, Tomas/0000-0002-2957-4791; Tack, Ayco/0000-0002-3550-1070",,,,,,,,,,,,0962-1083,1365-294X,0962-1083,1365-294X,JUL,2020,29,14,2736,2746,,10.1111/mec.15516,,JUL 2020,WOS:000545103100001
WOS2020,MK,n,n,y,y,n,complete,"ChatGPT: Table 1, 2, 3",No relevant root traits,Not found,NA,"Polar Urals, altitude gradient, experiment on decomposition rates of cellulose, roots, etc.",MY,"timberline, root decomposition","altitude gradient, experiment",,,,J,"Andreyashkina, N",,,,"Andreyashkina, N. I.",,,Plant matter decomposition in the upper timberline ecotone of the Polar Urals,RUSSIAN JOURNAL OF ECOLOGY,A relatively high biological activity of soils has been revealed at the upper timberline in the Polar Urals. The role of the altitudinal gradient as a factor of destruction process has distinctly manifested itself upon comparing decomposition rates of flowering plant foliage and herbaceous plant roots in the forest and in the tundra. The qualitative composition of decomposing plant matter has also proved to play a significant role. The soil moisture regime of the ecotope is the leading factor of the destruction process.,,,,,,,,,,,,,,,,,1067-4136,1608-3334,1067-4136,1608-3334,DEC,2008,39,7,490,494,,10.1134/S1067413608070059,,,WOS:000260783400005
WOS2020,,blank,blank,n,n,n,NA,NA,"No fine root traits, mostly about willow trees and ice-push",,NA,"Willow tree roots, along ice-push gradient, age structure",MY,,,,,,J,"BEGIN, Y; PAYETTE, S",,,,"BEGIN, Y; PAYETTE, S",,,"POPULATION-STRUCTURE OF LAKESHORE WILLOWS AND ICE-PUSH EVENTS IN SUB-ARCTIC QUEBEC, CANADA",HOLARCTIC ECOLOGY,"The effects of ice-push on shoreline population age structure of Salix planifolia was investigated at Clearwater Lake, a large lake (1270 km2) located in the eastern Canadian subarctic. Twenty-three willow stands located along a gradient of exposure to ice features were studied along the shoreline of a large island. Stand characteristics are significantly correlated with the degree of shore exposure. Drift-ice action maintains continuously vegetation free substrata furthering willow colonization in shoreline habitat. Well-rooted shrubs withstand disturbance through vegetative regenetation, that is profuse basal sprouting in response to ice-scouring and breakage of stems. Age structure of basal shoots is highly correlated with ice-scar dates. The rapid turnover of stem metapopulations frequently damaged by ice allows the shrubs to live older than usually. During recent decades, drift-ice activity contributed to maintain a fast changing shore zone, favourable for the development of shrub populations. High frequency and magnitude of ice-push events were caused by periodic high spring water levels.",,,,,,,,,,,,,,,,,0105-9327,,0105-9327,,JAN,1991,14,1,9,17,,,,,WOS:A1991FB36700002
WOS2020,AM,n,n,y,y,n,complete,"PlotDigitzer: Fig 1, 3
ChatGPT: Table 1",Root traits not in units that correspond to FRED (live mass are normalized and not in g/m2),Not found,NA,About soil warming in the arctic and effects on plants ,MY,arctic bg biomass,experimental soil warming,,,,J,"Brooker, R; van der Wal, R",,,,"Brooker, R; van der Wal, R",,,Can soil temperature direct the composition of high arctic plant communities?,JOURNAL OF VEGETATION SCIENCE,"Low temperatures exert a primary constraint on the Growth of high arctic vascular plants. However, investigations into the impact of temperature on high arctic plants rarely separate out the role of air and soil temperatures, and few data exist to indicate whether soil temperatures alone can significantly influence the growth of high arctic vascular plants in a manner that might direct community composition. We examined the response of high arctic plants of three functional types (grasses, sedges/rushes and non-graminoids) to manipulated soil temperature under common air temperature conditions. Target plants, within intact soil cores, were placed in water baths at a range of temperatures between 4.9 and 15.3degreesC for one growing season. Grasses responded most rapidly to increased soil temperature, with increased total live plant mass. above-ground live mass and total below-ground live mass, with non-graminoids having the lowest, and sedges/ rushes an intermediate degree of response. The ratio of above-ground live mass to total live mass increased in all growth forms. Grasses. in particular, responded to enhanced soil temperatures by increasing shoot size rather than shoot number. In all growth forms the mass of root tissue beneath the moss layer increased significantly and to a similar extent with increasing soil temperature. These results clearly indicate that different growth forms, although collected from the same plant community, respond differently to changes in soil temperature. As a consequence, factors influencing soil temperature in high arctic ecosystems, such as global climate change or herbivory (which leads to reduced moss depth and increased soil temperatures), may also direct chances in vascular plant community composition.",,,,"Brooker, Rob W/F-9569-2012; van der Wal, Rene/F-3177-2010","Brooker, Rob W/0000-0002-7014-0071; ",,,,,,,,,,,,1100-9233,1654-1103,1100-9233,1654-1103,AUG,2003,14,4,535,542,,10.1111/j.1654-1103.2003.tb02180.x,,,WOS:000186226400008
WOS2020,RL,n,n,n,for FRED 5.0,n,NA,NA,No warming but has biomass,Not found,NA,Mainly about nutrient uptake capabilities of rhizomes ,MY,Subarctic; N uptake by rhizome; root and rhizome biomass for a sedge,,,,,J,"Brooker, RW; Callaghan, TV; Jonasson, S",,,,"Brooker, RW; Callaghan, TV; Jonasson, S",,,Nitrogen uptake by rhizomes of the clonal sedge Carex bigelowii: a previously overlooked nutritional benefit of rhizomatous growth,NEW PHYTOLOGIST,"Studies on the rhizomatous clonal sedge Carex bigelowii, at a fellfield site in subarctic Swedish Lapland examined the ecological potential of rhizomes as nitrogen uptake systems. Direct application of a solution of (NH4NO3)-N-15-N-15 to the rhizomes of C. bigelowii significantly enriched the N-15 content of the plant tissue. The pattern of enrichment indicated movement of labelled nitrogen into rhizomes and adjoining tissue (including roots and shoots), showing both uptake and translocation via the rhizome system. There was a gradient of decreasing N-15 enrichment with increasing distance from the point of labelling, and estimation of the total mass of nitrogen taken up via labelled rhizomes showed low levels and rates of uptake. Quantification of the size of rhizome and root systems of C. bigelowii at the study site indicates that 80% of the living biomass map be below ground, and that the surface area of the rhizome system of C. bigelowii is approx, two-thirds that of the roots. The rhizome system of C. bigelowii can therefore act as a route for nitrogen uptake, with the potential to exploit almost as great a volume of soil as the root system. This mechanism of nitrogen uptake may play an important role in the Arctic, where many species have a clonal, rhizomatous growth form. In addition, plant growth in many arctic ecosystems is limited by low soil nutrient availability, a result of low temperatures (leading to slow soil decomposition rates) and patchy resource distribution. Nitrogen uptake via rhizomes may provide plants with the capacity to take advantage of transient nutrient supplies, and may partly compensate far the cost of developing and maintaining persistent rhizome networks in ecosystems where nutrient resources are in short supply.",,,,"Brooker, Rob W/F-9569-2012; Callaghan, Terens V./N-7640-2014","Brooker, Rob W/0000-0002-7014-0071; ",,,,,,,,,,,,0028-646X,,0028-646X,,APR,1999,142,1,35,48,,10.1046/j.1469-8137.1999.00384.x,,,WOS:000080265700004
